Symbol,Type,Entry,Exit,Profit,Date
BTCUSD,Sell,1562.29,1698.11,135.82,2025-06-03
EURUSD,Sell,1795.11,1640.85,-154.26,2025-06-04
BTCUSD,Sell,1569.23,1427.55,-141.68,2025-06-05
USDJPY,Buy,1975.99,1944.2,-31.79,2025-06-06
BTCUSD,Buy,1937.74,2005.39,67.65,2025-06-07
EURUSD,Buy,1972.59,1835.9099999999999,-136.68,2025-06-08
EURUSD,Buy,1071.7,932.9200000000001,-138.78,2025-06-09
ETHUSD,Buy,1447.42,1496.53,49.11,2025-06-10
EURUSD,Buy,1614.56,1807.23,192.67,2025-06-11
XAUUSD,Sell,1167.29,1142.52,-24.77,2025-06-12
USDJPY,Sell,1258.17,1070.2,-187.97,2025-06-13
XAUUSD,Buy,1797.18,1925.98,128.8,2025-06-14
XAUUSD,Sell,1912.95,1997.2,84.25,2025-06-15
EURUSD,Buy,1711.44,1951.68,240.24,2025-06-16
GBPJPY,Buy,1457.68,1449.5,-8.18,2025-06-17
EURUSD,Sell,1082.25,1028.45,-53.8,2025-06-18
USDJPY,Sell,1812.65,1690.0800000000002,-122.57,2025-06-19
BTCUSD,Sell,1172.62,1119.8,-52.82,2025-06-20
ETHUSD,Sell,1413.2,1598.3500000000001,185.15,2025-06-21
EURUSD,Sell,1916.08,1835.9299999999998,-80.15,2025-06-22
ETHUSD,Buy,1121.53,959.96,-161.57,2025-06-23
EURUSD,Buy,1178.15,1315.2,137.05,2025-06-24
GBPJPY,Buy,1264.21,1276.45,12.24,2025-06-25
USDJPY,Buy,1133.93,1312.02,178.09,2025-06-26
GBPJPY,Buy,1974.27,2017.58,43.31,2025-06-27
EURUSD,Sell,1908.35,1919.58,11.23,2025-06-28
USDJPY,Sell,1062.42,1130.5800000000002,68.16,2025-06-29
XAUUSD,Buy,1189.57,1299.3899999999999,109.82,2025-06-30
EURUSD,Sell,1890.58,1919.46,28.88,2025-07-01
XAUUSD,Sell,1894.84,2134.83,239.99,2025-07-02
EURUSD,Sell,1011.07,1161.79,150.72,2025-07-03
EURUSD,Buy,1165.42,1399.73,234.31,2025-07-04
USDJPY,Buy,1180.16,1379.74,199.58,2025-07-05
ETHUSD,Buy,1744.3,1730.94,-13.36,2025-07-06
USDJPY,Buy,1758.53,1914.46,155.93,2025-07-07
